department_management.head	department_management.management	department_management.department
imdb.director	has	imdb.director.name
imdb.director	has	imdb.director.nationality
imdb.director	has	imdb.director.birth_year
imdb.director	has	imdb.director.did
imdb.director	has	imdb.director.gender
imdb.director	has	imdb.director.birth_city
imdb.producer	has	imdb.producer.name
imdb.producer	has	imdb.producer.nationality
imdb.producer	has	imdb.producer.birth_year
imdb.producer	has	imdb.producer.gender
imdb.producer	has	imdb.producer.pid
imdb.producer	has	imdb.producer.birth_city
imdb.directed_by	has	imdb.directed_by.id
imdb.directed_by	has	imdb.directed_by.did
imdb.directed_by	has	imdb.directed_by.msid
imdb.keyword	has	imdb.keyword.id
imdb.keyword	has	imdb.keyword.keyword
imdb.made_by	has	imdb.made_by.id
imdb.made_by	has	imdb.made_by.msid
imdb.made_by	has	imdb.made_by.pid
imdb.movie	has	imdb.movie.budget
imdb.movie	has	imdb.movie.title_aka
imdb.movie	has	imdb.movie.title
imdb.movie	has	imdb.movie.release_year
imdb.movie	has	imdb.movie.mid
imdb.tags	has	imdb.tags.id
imdb.tags	has	imdb.tags.msid
imdb.tags	has	imdb.tags.kid
imdb.tv_series	has	imdb.tv_series.sid
imdb.tv_series	has	imdb.tv_series.budget
imdb.tv_series	has	imdb.tv_series.num_of_episodes
imdb.tv_series	has	imdb.tv_series.title
imdb.tv_series	has	imdb.tv_series.release_year
imdb.tv_series	has	imdb.tv_series.title_aka
imdb.tv_series	has	imdb.tv_series.num_of_seasons
imdb.writer	has	imdb.writer.name
imdb.writer	has	imdb.writer.wid
imdb.writer	has	imdb.writer.nationality
imdb.writer	has	imdb.writer.birth_year
imdb.writer	has	imdb.writer.num_of_episodes
imdb.writer	has	imdb.writer.gender
imdb.writer	has	imdb.writer.birth_city
restaurants	has	*
restaurants	has	restaurants.GEOGRAPHIC
restaurants.GEOGRAPHIC	has	*
restaurants	has	restaurants.RESTAURANT
restaurants.RESTAURANT	has	*
restaurants	has	restaurants.LOCATION
restaurants.LOCATION	has	*
restaurants.GEOGRAPHIC	has	restaurants.GEOGRAPHIC.COUNTY
restaurants.GEOGRAPHIC	has	restaurants.GEOGRAPHIC.CITY_NAME
restaurants.GEOGRAPHIC	has	restaurants.GEOGRAPHIC.REGION
restaurants.RESTAURANT	has	restaurants.RESTAURANT.FOOD_TYPE
restaurants.RESTAURANT	has	restaurants.RESTAURANT.NAME
restaurants.RESTAURANT	has	restaurants.RESTAURANT.RATING
restaurants.RESTAURANT	has	restaurants.RESTAURANT.ID
restaurants.RESTAURANT	has	restaurants.RESTAURANT.CITY_NAME
restaurants.LOCATION	has	restaurants.LOCATION.STREET_NAME
restaurants.LOCATION	has	restaurants.LOCATION.HOUSE_NUMBER
restaurants.LOCATION	has	restaurants.LOCATION.CITY_NAME
restaurants.LOCATION	has	restaurants.LOCATION.RESTAURANT_ID
product_catalog	has	*
product_catalog	has	product_catalog.Attribute_Definitions
product_catalog.Attribute_Definitions	has	*
product_catalog	has	product_catalog.Catalogs
product_catalog.Catalogs	has	*
product_catalog	has	product_catalog.Catalog_Structure
product_catalog.Catalog_Structure	has	*
product_catalog	has	product_catalog.Catalog_Contents
product_catalog.Catalog_Contents	has	*
product_catalog	has	product_catalog.Catalog_Contents_Additional_Attributes
product_catalog.Catalog_Contents_Additional_Attributes	has	*
product_catalog	has	product_catalog.catalog_structure_HAS_product_catalog
product_catalog.catalog_structure_HAS_product_catalog	has	*
product_catalog	has	product_catalog.catalog_contents_HAS_product_catalog
product_catalog.catalog_contents_HAS_product_catalog	has	*
product_catalog.Attribute_Definitions	has	product_catalog.Attribute_Definitions.attribute_data_type
product_catalog.Attribute_Definitions	has	product_catalog.Attribute_Definitions.attribute_id
product_catalog.Attribute_Definitions	has	product_catalog.Attribute_Definitions.attribute_name
product_catalog.Catalogs	has	product_catalog.Catalogs.catalog_name
product_catalog.Catalogs	has	product_catalog.Catalogs.date_of_publication
product_catalog.Catalogs	has	product_catalog.Catalogs.date_of_latest_revision
product_catalog.Catalogs	has	product_catalog.Catalogs.catalog_id
product_catalog.Catalogs	has	product_catalog.Catalogs.catalog_publisher
product_catalog.Catalog_Structure	has	product_catalog.Catalog_Structure.catalog_level_name
product_catalog.Catalog_Structure	has	product_catalog.Catalog_Structure.catalog_id
product_catalog.Catalog_Structure	has	product_catalog.Catalog_Structure.catalog_level_number
product_catalog.Catalog_Contents	has	product_catalog.Catalog_Contents.height
product_catalog.Catalog_Contents	has	product_catalog.Catalog_Contents.catalog_entry_name
product_catalog.Catalog_Contents	has	product_catalog.Catalog_Contents.previous_entry_id
product_catalog.Catalog_Contents	has	product_catalog.Catalog_Contents.price_in_pounds
product_catalog.Catalog_Contents	has	product_catalog.Catalog_Contents.width
product_catalog.Catalog_Contents	has	product_catalog.Catalog_Contents.parent_entry_id
product_catalog.Catalog_Contents	has	product_catalog.Catalog_Contents.length
product_catalog.Catalog_Contents	has	product_catalog.Catalog_Contents.price_in_euros
product_catalog.Catalog_Contents	has	product_catalog.Catalog_Contents.next_entry_id
product_catalog.Catalog_Contents	has	product_catalog.Catalog_Contents.capacity
product_catalog.Catalog_Contents	has	product_catalog.Catalog_Contents.product_stock_number
product_catalog.Catalog_Contents	has	product_catalog.Catalog_Contents.price_in_dollars
product_catalog.Catalog_Contents	has	product_catalog.Catalog_Contents.catalog_entry_id
product_catalog.Catalog_Contents	has	product_catalog.Catalog_Contents.catalog_level_number
product_catalog.Catalog_Contents_Additional_Attributes	has	product_catalog.Catalog_Contents_Additional_Attributes.attribute_value
product_catalog.Catalog_Contents_Additional_Attributes	has	product_catalog.Catalog_Contents_Additional_Attributes.catalog_entry_id
product_catalog.Catalog_Contents_Additional_Attributes	has	product_catalog.Catalog_Contents_Additional_Attributes.attribute_id
product_catalog.Catalog_Contents_Additional_Attributes	has	product_catalog.Catalog_Contents_Additional_Attributes.catalog_level_number
phone_1	has	*
phone_1	has	phone_1.chip_model
phone_1.chip_model	has	*
phone_1	has	phone_1.screen_mode
phone_1.screen_mode	has	*
phone_1	has	phone_1.phone
phone_1.phone	has	*
phone_1	has	phone_1.phone_HAS_phone_1
phone_1.phone_HAS_phone_1	has	*
phone_1.chip_model	has	phone_1.chip_model.RAM_MiB
phone_1.chip_model	has	phone_1.chip_model.WiFi
phone_1.chip_model	has	phone_1.chip_model.Launch_year
phone_1.chip_model	has	phone_1.chip_model.Slots
phone_1.chip_model	has	phone_1.chip_model.Model_name
phone_1.chip_model	has	phone_1.chip_model.ROM_MiB
phone_1.chip_model	has	phone_1.chip_model.Bluetooth
phone_1.screen_mode	has	phone_1.screen_mode.Type
phone_1.screen_mode	has	phone_1.screen_mode.Char_cells
phone_1.screen_mode	has	phone_1.screen_mode.Hardware_colours
phone_1.screen_mode	has	phone_1.screen_mode.used_kb
phone_1.screen_mode	has	phone_1.screen_mode.Pixels
phone_1.screen_mode	has	phone_1.screen_mode.map
phone_1.screen_mode	has	phone_1.screen_mode.Graphics_mode
phone_1.phone	has	phone_1.phone.Date
phone_1.phone	has	phone_1.phone.Hardware_Model_name
phone_1.phone	has	phone_1.phone.Company_name
phone_1.phone	has	phone_1.phone.Accreditation_type
phone_1.phone	has	phone_1.phone.screen_mode
phone_1.phone	has	phone_1.phone.Accreditation_level
phone_1.phone	has	phone_1.phone.chip_model
voter_1	has	*
voter_1	has	voter_1.AREA_CODE_STATE
voter_1.AREA_CODE_STATE	has	*
voter_1	has	voter_1.CONTESTANTS
voter_1.CONTESTANTS	has	*
voter_1	has	voter_1.VOTES
voter_1.VOTES	has	*
voter_1	has	voter_1.votes_HAS_voter_1
voter_1.votes_HAS_voter_1	has	*
voter_1.AREA_CODE_STATE	has	voter_1.AREA_CODE_STATE.area_code
voter_1.AREA_CODE_STATE	has	voter_1.AREA_CODE_STATE.state
voter_1.CONTESTANTS	has	voter_1.CONTESTANTS.contestant_number
voter_1.CONTESTANTS	has	voter_1.CONTESTANTS.contestant_name
voter_1.VOTES	has	voter_1.VOTES.contestant_number
voter_1.VOTES	has	voter_1.VOTES.created
voter_1.VOTES	has	voter_1.VOTES.state
voter_1.VOTES	has	voter_1.VOTES.vote_id
voter_1.VOTES	has	voter_1.VOTES.phone_number
small_bank_1	has	*
small_bank_1	has	small_bank_1.ACCOUNTS
small_bank_1.ACCOUNTS	has	*
small_bank_1	has	small_bank_1.SAVINGS
small_bank_1.SAVINGS	has	*
small_bank_1	has	small_bank_1.CHECKING
small_bank_1.CHECKING	has	*
small_bank_1.ACCOUNTS	has	small_bank_1.ACCOUNTS.name
small_bank_1.ACCOUNTS	has	small_bank_1.ACCOUNTS.custid
small_bank_1.SAVINGS	has	small_bank_1.SAVINGS.balance
small_bank_1.SAVINGS	has	small_bank_1.SAVINGS.custid
small_bank_1.CHECKING	has	small_bank_1.CHECKING.balance
small_bank_1.CHECKING	has	small_bank_1.CHECKING.custid
tracking_share_transactions	has	*
tracking_share_transactions	has	tracking_share_transactions.Investors
tracking_share_transactions.Investors	has	*
tracking_share_transactions	has	tracking_share_transactions.Lots
tracking_share_transactions.Lots	has	*
tracking_share_transactions	has	tracking_share_transactions.Ref_Transaction_Types
tracking_share_transactions.Ref_Transaction_Types	has	*
tracking_share_transactions	has	tracking_share_transactions.Transactions
tracking_share_transactions.Transactions	has	*
tracking_share_transactions	has	tracking_share_transactions.Sales
tracking_share_transactions.Sales	has	*
tracking_share_transactions	has	tracking_share_transactions.Purchases
tracking_share_transactions.Purchases	has	*
tracking_share_transactions	has	tracking_share_transactions.Transactions_Lots
tracking_share_transactions.Transactions_Lots	has	*
tracking_share_transactions	has	tracking_share_transactions.lots_HAS_tracking_share_transactions
tracking_share_transactions.lots_HAS_tracking_share_transactions	has	*
tracking_share_transactions	has	tracking_share_transactions.transactions_HAS_tracking_share_transactions
tracking_share_transactions.transactions_HAS_tracking_share_transactions	has	*
tracking_share_transactions	has	tracking_share_transactions.sales_HAS_tracking_share_transactions
tracking_share_transactions.sales_HAS_tracking_share_transactions	has	*
tracking_share_transactions	has	tracking_share_transactions.purchases_HAS_tracking_share_transactions
tracking_share_transactions.purchases_HAS_tracking_share_transactions	has	*
tracking_share_transactions.Investors	has	tracking_share_transactions.Investors.investor_id
tracking_share_transactions.Investors	has	tracking_share_transactions.Investors.Investor_details
tracking_share_transactions.Lots	has	tracking_share_transactions.Lots.investor_id
tracking_share_transactions.Lots	has	tracking_share_transactions.Lots.lot_details
tracking_share_transactions.Lots	has	tracking_share_transactions.Lots.lot_id
tracking_share_transactions.Ref_Transaction_Types	has	tracking_share_transactions.Ref_Transaction_Types.transaction_type_code
tracking_share_transactions.Ref_Transaction_Types	has	tracking_share_transactions.Ref_Transaction_Types.transaction_type_description
tracking_share_transactions.Transactions	has	tracking_share_transactions.Transactions.investor_id
tracking_share_transactions.Transactions	has	tracking_share_transactions.Transactions.transaction_type_code
tracking_share_transactions.Transactions	has	tracking_share_transactions.Transactions.amount_of_transaction
tracking_share_transactions.Transactions	has	tracking_share_transactions.Transactions.date_of_transaction
tracking_share_transactions.Transactions	has	tracking_share_transactions.Transactions.transaction_id
tracking_share_transactions.Transactions	has	tracking_share_transactions.Transactions.share_count
tracking_share_transactions.Sales	has	tracking_share_transactions.Sales.sales_details
tracking_share_transactions.Sales	has	tracking_share_transactions.Sales.sales_transaction_id
tracking_share_transactions.Purchases	has	tracking_share_transactions.Purchases.purchase_transaction_id
tracking_share_transactions.Purchases	has	tracking_share_transactions.Purchases.purchase_details
tracking_share_transactions.Transactions_Lots	has	tracking_share_transactions.Transactions_Lots.transaction_id
tracking_share_transactions.Transactions_Lots	has	tracking_share_transactions.Transactions_Lots.lot_id
inn_1	has	*
inn_1	has	inn_1.Rooms
inn_1.Rooms	has	*
inn_1	has	inn_1.Reservations
inn_1.Reservations	has	*
inn_1	has	inn_1.reservations_HAS_inn_1
inn_1.reservations_HAS_inn_1	has	*
inn_1.Rooms	has	inn_1.Rooms.RoomId
inn_1.Rooms	has	inn_1.Rooms.basePrice
inn_1.Rooms	has	inn_1.Rooms.roomName
inn_1.Rooms	has	inn_1.Rooms.maxOccupancy
inn_1.Rooms	has	inn_1.Rooms.beds
inn_1.Rooms	has	inn_1.Rooms.bedType
inn_1.Rooms	has	inn_1.Rooms.decor
inn_1.Reservations	has	inn_1.Reservations.Adults
inn_1.Reservations	has	inn_1.Reservations.Room
inn_1.Reservations	has	inn_1.Reservations.Kids
inn_1.Reservations	has	inn_1.Reservations.Code
inn_1.Reservations	has	inn_1.Reservations.CheckOut
inn_1.Reservations	has	inn_1.Reservations.FirstName
inn_1.Reservations	has	inn_1.Reservations.LastName
inn_1.Reservations	has	inn_1.Reservations.Rate
inn_1.Reservations	has	inn_1.Reservations.CheckIn
phone_market	has	*
phone_market	has	phone_market.phone
phone_market.phone	has	*
phone_market	has	phone_market.market
phone_market.market	has	*
phone_market	has	phone_market.phone_market
phone_market.phone_market	has	*
phone_market.phone	has	phone_market.phone.Name
phone_market.phone	has	phone_market.phone.Phone_ID
phone_market.phone	has	phone_market.phone.Carrier
phone_market.phone	has	phone_market.phone.Memory_in_G
phone_market.phone	has	phone_market.phone.Price
phone_market.market	has	phone_market.market.Ranking
phone_market.market	has	phone_market.market.Num_of_employees
phone_market.market	has	phone_market.market.District
phone_market.market	has	phone_market.market.Market_ID
phone_market.market	has	phone_market.market.Num_of_shops
phone_market.phone_market	has	phone_market.phone_market.Phone_ID
phone_market.phone_market	has	phone_market.phone_market.Num_of_stock
phone_market.phone_market	has	phone_market.phone_market.Market_ID
debate	has	*
debate	has	debate.people
debate.people	has	*
debate	has	debate.debate
debate.debate	has	*
debate	has	debate.debate_people
debate.debate_people	has	*
debate	has	debate.debate_people_HAS_debate
debate.debate_people_HAS_debate	has	*
debate.people	has	debate.people.Age
debate.people	has	debate.people.Name
debate.people	has	debate.people.Party
debate.people	has	debate.people.People_ID
debate.people	has	debate.people.District
debate.debate	has	debate.debate.Date
debate.debate	has	debate.debate.Venue
debate.debate	has	debate.debate.Debate_ID
debate.debate	has	debate.debate.Num_of_Audience
debate.debate_people	has	debate.debate_people.Affirmative
debate.debate_people	has	debate.debate_people.If_Affirmative_Win
debate.debate_people	has	debate.debate_people.Debate_ID
debate.debate_people	has	debate.debate_people.Negative
customers_campaigns_ecommerce	has	*
customers_campaigns_ecommerce	has	customers_campaigns_ecommerce.Premises
customers_campaigns_ecommerce.Premises	has	*
customers_campaigns_ecommerce	has	customers_campaigns_ecommerce.Products
customers_campaigns_ecommerce.Products	has	*
customers_campaigns_ecommerce	has	customers_campaigns_ecommerce.Customers
customers_campaigns_ecommerce.Customers	has	*
customers_campaigns_ecommerce	has	customers_campaigns_ecommerce.Mailshot_Campaigns
customers_campaigns_ecommerce.Mailshot_Campaigns	has	*
customers_campaigns_ecommerce	has	customers_campaigns_ecommerce.Customer_Orders
customers_campaigns_ecommerce.Customer_Orders	has	*
customers_campaigns_ecommerce	has	customers_campaigns_ecommerce.Customer_Addresses
customers_campaigns_ecommerce.Customer_Addresses	has	*
customers_campaigns_ecommerce	has	customers_campaigns_ecommerce.Mailshot_Customers
customers_campaigns_ecommerce.Mailshot_Customers	has	*
customers_campaigns_ecommerce	has	customers_campaigns_ecommerce.Order_Items
customers_campaigns_ecommerce.Order_Items	has	*
customers_campaigns_ecommerce	has	customers_campaigns_ecommerce.customer_orders_HAS_customers_campaigns_ecommerce
customers_campaigns_ecommerce.customer_orders_HAS_customers_campaigns_ecommerce	has	*
customers_campaigns_ecommerce.Premises	has	customers_campaigns_ecommerce.Premises.premise_id
customers_campaigns_ecommerce.Premises	has	customers_campaigns_ecommerce.Premises.premise_details
customers_campaigns_ecommerce.Premises	has	customers_campaigns_ecommerce.Premises.premises_type
customers_campaigns_ecommerce.Products	has	customers_campaigns_ecommerce.Products.product_name
customers_campaigns_ecommerce.Products	has	customers_campaigns_ecommerce.Products.product_id
customers_campaigns_ecommerce.Products	has	customers_campaigns_ecommerce.Products.product_category
customers_campaigns_ecommerce.Customers	has	customers_campaigns_ecommerce.Customers.customer_name
customers_campaigns_ecommerce.Customers	has	customers_campaigns_ecommerce.Customers.payment_method
customers_campaigns_ecommerce.Customers	has	customers_campaigns_ecommerce.Customers.customer_address
customers_campaigns_ecommerce.Customers	has	customers_campaigns_ecommerce.Customers.customer_phone
customers_campaigns_ecommerce.Customers	has	customers_campaigns_ecommerce.Customers.customer_password
customers_campaigns_ecommerce.Customers	has	customers_campaigns_ecommerce.Customers.customer_id
customers_campaigns_ecommerce.Customers	has	customers_campaigns_ecommerce.Customers.customer_email
customers_campaigns_ecommerce.Mailshot_Campaigns	has	customers_campaigns_ecommerce.Mailshot_Campaigns.mailshot_id
customers_campaigns_ecommerce.Mailshot_Campaigns	has	customers_campaigns_ecommerce.Mailshot_Campaigns.mailshot_end_date
customers_campaigns_ecommerce.Mailshot_Campaigns	has	customers_campaigns_ecommerce.Mailshot_Campaigns.mailshot_name
customers_campaigns_ecommerce.Mailshot_Campaigns	has	customers_campaigns_ecommerce.Mailshot_Campaigns.product_category
customers_campaigns_ecommerce.Mailshot_Campaigns	has	customers_campaigns_ecommerce.Mailshot_Campaigns.mailshot_start_date
customers_campaigns_ecommerce.Customer_Orders	has	customers_campaigns_ecommerce.Customer_Orders.order_shipping_charges
customers_campaigns_ecommerce.Customer_Orders	has	customers_campaigns_ecommerce.Customer_Orders.order_delivered_datetime
customers_campaigns_ecommerce.Customer_Orders	has	customers_campaigns_ecommerce.Customer_Orders.order_placed_datetime
customers_campaigns_ecommerce.Customer_Orders	has	customers_campaigns_ecommerce.Customer_Orders.customer_id
customers_campaigns_ecommerce.Customer_Orders	has	customers_campaigns_ecommerce.Customer_Orders.order_status_code
customers_campaigns_ecommerce.Customer_Orders	has	customers_campaigns_ecommerce.Customer_Orders.shipping_method_code
customers_campaigns_ecommerce.Customer_Orders	has	customers_campaigns_ecommerce.Customer_Orders.order_id
customers_campaigns_ecommerce.Customer_Addresses	has	customers_campaigns_ecommerce.Customer_Addresses.address_type_code
customers_campaigns_ecommerce.Customer_Addresses	has	customers_campaigns_ecommerce.Customer_Addresses.date_address_to
customers_campaigns_ecommerce.Customer_Addresses	has	customers_campaigns_ecommerce.Customer_Addresses.premise_id
customers_campaigns_ecommerce.Customer_Addresses	has	customers_campaigns_ecommerce.Customer_Addresses.customer_id
customers_campaigns_ecommerce.Customer_Addresses	has	customers_campaigns_ecommerce.Customer_Addresses.date_address_from
customers_campaigns_ecommerce.Mailshot_Customers	has	customers_campaigns_ecommerce.Mailshot_Customers.mailshot_id
customers_campaigns_ecommerce.Mailshot_Customers	has	customers_campaigns_ecommerce.Mailshot_Customers.customer_id
customers_campaigns_ecommerce.Mailshot_Customers	has	customers_campaigns_ecommerce.Mailshot_Customers.outcome_code
customers_campaigns_ecommerce.Mailshot_Customers	has	customers_campaigns_ecommerce.Mailshot_Customers.mailshot_customer_date
customers_campaigns_ecommerce.Order_Items	has	customers_campaigns_ecommerce.Order_Items.item_status_code
customers_campaigns_ecommerce.Order_Items	has	customers_campaigns_ecommerce.Order_Items.item_id
customers_campaigns_ecommerce.Order_Items	has	customers_campaigns_ecommerce.Order_Items.order_item_status_code
customers_campaigns_ecommerce.Order_Items	has	customers_campaigns_ecommerce.Order_Items.product_id
customers_campaigns_ecommerce.Order_Items	has	customers_campaigns_ecommerce.Order_Items.item_order_quantity
customers_campaigns_ecommerce.Order_Items	has	customers_campaigns_ecommerce.Order_Items.order_id
customers_campaigns_ecommerce.Order_Items	has	customers_campaigns_ecommerce.Order_Items.item_delivered_datetime
tvshow	has	*
tvshow	has	tvshow.TV_Channel
tvshow.TV_Channel	has	*
tvshow	has	tvshow.TV_series
tvshow.TV_series	has	*
tvshow	has	tvshow.Cartoon
tvshow.Cartoon	has	*
tvshow	has	tvshow.tv_series_HAS_tvshow
tvshow.tv_series_HAS_tvshow	has	*
tvshow	has	tvshow.cartoon_HAS_tvshow
tvshow.cartoon_HAS_tvshow	has	*
tvshow.TV_Channel	has	tvshow.TV_Channel.Country
tvshow.TV_Channel	has	tvshow.TV_Channel.id
tvshow.TV_Channel	has	tvshow.TV_Channel.series_name
tvshow.TV_Channel	has	tvshow.TV_Channel.Package_Option
tvshow.TV_Channel	has	tvshow.TV_Channel.Hight_definition_TV
tvshow.TV_Channel	has	tvshow.TV_Channel.Language
tvshow.TV_Channel	has	tvshow.TV_Channel.Pixel_aspect_ratio_PAR
tvshow.TV_Channel	has	tvshow.TV_Channel.Content
tvshow.TV_Channel	has	tvshow.TV_Channel.Pay_per_view_PPV
tvshow.TV_series	has	tvshow.TV_series.id
tvshow.TV_series	has	tvshow.TV_series.Share
tvshow.TV_series	has	tvshow.TV_series.Air_Date
tvshow.TV_series	has	tvshow.TV_series.18_49_Rating_Share
tvshow.TV_series	has	tvshow.TV_series.Viewers_m
tvshow.TV_series	has	tvshow.TV_series.Rating
tvshow.TV_series	has	tvshow.TV_series.Weekly_Rank
tvshow.TV_series	has	tvshow.TV_series.Episode
tvshow.TV_series	has	tvshow.TV_series.Channel
tvshow.Cartoon	has	tvshow.Cartoon.id
tvshow.Cartoon	has	tvshow.Cartoon.Written_by
tvshow.Cartoon	has	tvshow.Cartoon.Directed_by
tvshow.Cartoon	has	tvshow.Cartoon.Production_code
tvshow.Cartoon	has	tvshow.Cartoon.Title
tvshow.Cartoon	has	tvshow.Cartoon.Original_air_date
tvshow.Cartoon	has	tvshow.Cartoon.Channel
orchestra	has	*
orchestra	has	orchestra.conductor
orchestra.conductor	has	*
orchestra	has	orchestra.orchestra
orchestra.orchestra	has	*
orchestra	has	orchestra.performance
orchestra.performance	has	*
orchestra	has	orchestra.show
orchestra.show	has	*
orchestra	has	orchestra.orchestra_HAS_orchestra
orchestra.orchestra_HAS_orchestra	has	*
orchestra	has	orchestra.performance_HAS_orchestra
orchestra.performance_HAS_orchestra	has	*
orchestra	has	orchestra.show_HAS_orchestra
orchestra.show_HAS_orchestra	has	*
orchestra.conductor	has	orchestra.conductor.Age
orchestra.conductor	has	orchestra.conductor.Name
orchestra.conductor	has	orchestra.conductor.Conductor_ID
orchestra.conductor	has	orchestra.conductor.Nationality
orchestra.conductor	has	orchestra.conductor.Year_of_Work
orchestra.orchestra	has	orchestra.orchestra.Orchestra
orchestra.orchestra	has	orchestra.orchestra.Conductor_ID
orchestra.orchestra	has	orchestra.orchestra.Major_Record_Format
orchestra.orchestra	has	orchestra.orchestra.Record_Company
orchestra.orchestra	has	orchestra.orchestra.Year_of_Founded
orchestra.orchestra	has	orchestra.orchestra.Orchestra_ID
orchestra.performance	has	orchestra.performance.Type
orchestra.performance	has	orchestra.performance.Date
orchestra.performance	has	orchestra.performance.Share
orchestra.performance	has	orchestra.performance.Performance_ID
orchestra.performance	has	orchestra.performance.Weekly_rank
orchestra.performance	has	orchestra.performance.Official_ratings_(millions)
orchestra.performance	has	orchestra.performance.Orchestra_ID
orchestra.show	has	orchestra.show.Performance_ID
orchestra.show	has	orchestra.show.Show_ID
orchestra.show	has	orchestra.show.If_first_show
orchestra.show	has	orchestra.show.Attendance
orchestra.show	has	orchestra.show.Result
local_govt_in_alabama	has	*
local_govt_in_alabama	has	local_govt_in_alabama.Services
local_govt_in_alabama.Services	has	*
local_govt_in_alabama	has	local_govt_in_alabama.Participants
local_govt_in_alabama.Participants	has	*
local_govt_in_alabama	has	local_govt_in_alabama.Events
local_govt_in_alabama.Events	has	*
local_govt_in_alabama	has	local_govt_in_alabama.Participants_in_Events
local_govt_in_alabama.Participants_in_Events	has	*
local_govt_in_alabama	has	local_govt_in_alabama.events_HAS_local_govt_in_alabama
local_govt_in_alabama.events_HAS_local_govt_in_alabama	has	*
local_govt_in_alabama.Services	has	local_govt_in_alabama.Services.Service_ID
local_govt_in_alabama.Services	has	local_govt_in_alabama.Services.Service_Type_Code
local_govt_in_alabama.Participants	has	local_govt_in_alabama.Participants.Participant_Details
local_govt_in_alabama.Participants	has	local_govt_in_alabama.Participants.Participant_Type_Code
local_govt_in_alabama.Participants	has	local_govt_in_alabama.Participants.Participant_ID
local_govt_in_alabama.Events	has	local_govt_in_alabama.Events.Event_Details
local_govt_in_alabama.Events	has	local_govt_in_alabama.Events.Event_ID
local_govt_in_alabama.Events	has	local_govt_in_alabama.Events.Service_ID
local_govt_in_alabama.Participants_in_Events	has	local_govt_in_alabama.Participants_in_Events.Event_ID
local_govt_in_alabama.Participants_in_Events	has	local_govt_in_alabama.Participants_in_Events.Participant_ID
riding_club	has	*
riding_club	has	riding_club.player
riding_club.player	has	*
riding_club	has	riding_club.club
riding_club.club	has	*
riding_club	has	riding_club.coach
riding_club.coach	has	*
riding_club	has	riding_club.match_result
riding_club.match_result	has	*
riding_club	has	riding_club.player_coach
riding_club.player_coach	has	*
riding_club	has	riding_club.coach_HAS_riding_club
riding_club.coach_HAS_riding_club	has	*
riding_club	has	riding_club.match_result_HAS_riding_club
riding_club.match_result_HAS_riding_club	has	*
riding_club.player	has	riding_club.player.Player_ID
riding_club.player	has	riding_club.player.Player_name
riding_club.player	has	riding_club.player.Residence
riding_club.player	has	riding_club.player.Sponsor_name
riding_club.player	has	riding_club.player.Rank
riding_club.player	has	riding_club.player.Gender
riding_club.player	has	riding_club.player.Occupation
riding_club.player	has	riding_club.player.Votes
riding_club.club	has	riding_club.club.Club_name
riding_club.club	has	riding_club.club.Region
riding_club.club	has	riding_club.club.Start_year
riding_club.club	has	riding_club.club.Club_ID
riding_club.coach	has	riding_club.coach.Rank
riding_club.coach	has	riding_club.coach.Coach_name
riding_club.coach	has	riding_club.coach.Gender
riding_club.coach	has	riding_club.coach.Coach_ID
riding_club.coach	has	riding_club.coach.Club_ID
riding_club.match_result	has	riding_club.match_result.Points
riding_club.match_result	has	riding_club.match_result.Rank
riding_club.match_result	has	riding_club.match_result.Bronze
riding_club.match_result	has	riding_club.match_result.Big_Silver
riding_club.match_result	has	riding_club.match_result.Gold
riding_club.match_result	has	riding_club.match_result.Small_Silver
riding_club.match_result	has	riding_club.match_result.Club_ID
riding_club.player_coach	has	riding_club.player_coach.Player_ID
riding_club.player_coach	has	riding_club.player_coach.Starting_year
riding_club.player_coach	has	riding_club.player_coach.Coach_ID
school_player	has	*
school_player	has	school_player.school
school_player.school	has	*
school_player	has	school_player.school_details
school_player.school_details	has	*
school_player	has	school_player.school_performance
school_player.school_performance	has	*
school_player	has	school_player.player
school_player.player	has	*
school_player	has	school_player.school_details_HAS_school_player
school_player.school_details_HAS_school_player	has	*
school_player	has	school_player.school_performance_HAS_school_player
school_player.school_performance_HAS_school_player	has	*
school_player	has	school_player.player_HAS_school_player
school_player.player_HAS_school_player	has	*
school_player.school	has	school_player.school.Denomination
school_player.school	has	school_player.school.Boys_or_Girls
school_player.school	has	school_player.school.School_Colors
school_player.school	has	school_player.school.Founded
school_player.school	has	school_player.school.School
school_player.school	has	school_player.school.Day_or_Boarding
school_player.school	has	school_player.school.Location
school_player.school	has	school_player.school.Year_Entered_Competition
school_player.school	has	school_player.school.Enrollment
school_player.school	has	school_player.school.School_ID
school_player.school_details	has	school_player.school_details.Division
school_player.school_details	has	school_player.school_details.Nickname
school_player.school_details	has	school_player.school_details.Colors
school_player.school_details	has	school_player.school_details.League
school_player.school_details	has	school_player.school_details.School_ID
school_player.school_details	has	school_player.school_details.Class
school_player.school_performance	has	school_player.school_performance.Class_A
school_player.school_performance	has	school_player.school_performance.Class_AA
school_player.school_performance	has	school_player.school_performance.School_Year
school_player.school_performance	has	school_player.school_performance.School_Id
school_player.player	has	school_player.player.Age
school_player.player	has	school_player.player.Player_ID
school_player.player	has	school_player.player.Position
school_player.player	has	school_player.player.Player
school_player.player	has	school_player.player.Team
school_player.player	has	school_player.player.School_ID
farm	has	*
farm	has	farm.city
farm.city	has	*
farm	has	farm.farm
farm.farm	has	*
